"","Problem.Hierarchy","X.1","Correct.Step.Duration..sec.","Error.Step.Duration..sec.","Incorrects","Hints","Corrects","Opportunity.SubSkills.","Opportunity.KTracedSkills.","Opportunity.Rules.","Correct.First.Attempt","count_subskill","count_tracedskill","count_rules","Step.Duration..sec.","PH"
"1","Unit absolute-value"," Section absolute-value-3",0,14.2,1,2,1,14,14,4,0,1,1,1,14.2,1
"2","Unit absolute-value"," Section absolute-value-3",0,11.36,1,1,1,0,0,6,0,0,0,1,11.36,1
"3","Unit absolute-value"," Section absolute-value-3",5.68,0,1,0,1,0,0,14,1,0,0,1,5.68,1
"4","Unit absolute-value"," Section absolute-value-3",5.68,0,1,0,1,0,0,27,1,0,0,1,5.68,1
"5","Unit absolute-value"," Section absolute-value-3",0,5.68,1,0,1,0,0,14,0,0,0,1,5.68,1
"6","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,27,1,0,0,1,2.84,1
"7","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,28,1,0,0,1,2.84,1
"8","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,9,1,0,0,1,2.84,1
"9","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,50,1,0,0,1,2.84,1
"10","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,27,1,0,0,1,2.84,1
"11","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,28,1,0,0,1,2.84,1
"12","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,28,1,0,0,1,2.84,1
"13","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,14,14,9,1,1,1,1,2.84,1
"14","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,23,1,0,0,1,2.84,1
"15","Unit absolute-value"," Section absolute-value-3",2.84,0,0,0,1,0,0,6,1,0,0,1,2.84,1
"16","Unit absolute-value"," Section absolute-value-1",0,0,2,2,1,1,1,1,0,1,1,1,0,1
"17","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,1,1,1,0,1,1,1,0,1
"18","Unit absolute-value"," Section absolute-value-1",0,0,1,2,1,0,0,1,0,0,0,1,0,1
"19","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"20","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"21","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"22","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"23","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,2,2,2,1,1,1,1,0,1
"24","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,2,2,2,1,1,1,1,0,1
"25","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"26","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"27","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"28","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"29","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"30","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,3,3,3,1,1,1,1,0,1
"31","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,3,3,3,1,1,1,1,0,1
"32","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"33","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"34","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"35","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"36","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"37","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,4,4,4,1,1,1,1,0,1
"38","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,1,1,1,1,1,1,1,0,1
"39","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"40","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,4,1,0,0,1,0,1
"41","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,1,1,0,0,1,0,1
"42","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,5,5,5,1,1,1,1,0,1
"43","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,2,2,2,1,1,1,1,0,1
"44","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"45","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,5,1,0,0,1,0,1
"46","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,2,1,0,0,1,0,1
"47","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,6,6,6,1,1,1,1,0,1
"48","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,4,4,4,1,1,1,1,0,1
"49","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,4,1,0,0,1,0,1
"50","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,4,1,0,0,1,0,1
"51","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,6,1,0,0,1,0,1
"52","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,4,1,0,0,1,0,1
"53","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,4,1,0,0,1,0,1
"54","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,7,7,7,0,1,1,1,0,1
"55","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,1,1,1,1,1,1,1,0,1
"56","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,8,8,8,1,1,1,1,0,1
"57","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,2,2,2,1,1,1,1,0,1
"58","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,9,9,9,0,1,1,1,0,1
"59","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,3,3,3,1,1,1,1,0,1
"60","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"61","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,7,1,0,0,1,0,1
"62","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,3,1,0,0,1,0,1
"63","Unit absolute-value"," Section absolute-value-1",0,0,1,0,1,10,10,10,1,1,1,1,0,1
"64","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,3,3,3,1,1,1,1,0,1
"65","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,11,11,11,1,1,1,1,0,1
"66","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,5,5,5,1,1,1,1,0,1
"67","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,5,1,0,0,1,0,1
"68","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,5,1,0,0,1,0,1
"69","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,8,1,0,0,1,0,1
"70","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,5,1,0,0,1,0,1
"71","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,0,0,5,1,0,0,1,0,1
"72","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,12,12,12,1,1,1,1,0,1
"73","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,4,4,4,1,1,1,1,0,1
"74","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,13,13,13,1,1,1,1,0,1
"75","Unit absolute-value"," Section absolute-value-1",0,0,0,0,1,4,4,4,1,1,1,1,0,1
